Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
06731200,00053805,06696256,00004831,00006072
06731216,00053805,06694952,00004830,00006071
06731680,00053801,06698920,00004831,00006075
06731088,00053800,06693512,00004830,00006072
06730584,00053808,06698592,00004834,00006072
06730848,00053801,06695216,00004831,00006072
06730880,00053800,06695904,00004831,00006073
06731336,00053813,06698520,00004830,00006075
06730776,00053807,06693544,00004831,00006075
06730528,00053807,06698968,00004832,00006071
06730984,00053807,06694464,00004830,00006073
06731392,00053813,06697056,00004831,00006075
06731200,00053813,06697864,00004832,00006073
06730896,00053812,06693936,00004832,00006078
06730560,00053818,06699264,00004832,00006078
06730664,00053818,06693608,00004831,00006075
06731096,00053822,06697328,00004832,00006074
06731216,00053825,06696448,00004831,00006078
06730544,00053832,06694088,00004836,00006073
06730648,00053840,06699064,00004834,00006075
06731016,00053838,06693216,00004831,00006078
06731232,00053839,06698632,00004832,00006076
06731088,00053842,06695336,00004833,00006076
06730920,00053852,06695304,00004833,00006079
06730824,00053849,06698520,00004836,00006077
06730968,00053855,06693224,00004834,00006078
06731224,00053855,06699072,00004831,00006081
06730608,00053856,06694888,00004831,00006076
06730304,00053865,06696696,00004831,00006078
06730824,00053866,06697840,00004836,00006081
06730832,00053867,06693672,00004833,00006080
06731272,00053875,06699240,00004832,00006076
06730664,00053877,06693816,00004832,00006081
06730408,00053880,06697272,00004833,00006082
06730504,00053888,06696880,00004837,00006080
06730688,00053888,06694248,00004833,00006080
06731016,00053891,06698968,00004837,00006080
06730272,00053896,06693264,00004835,00006082
06730000,00053890,06697760,00004834,00006080
06730608,00053896,06695856,00004832,00006080
06731016,00053894,06694848,00004833,00006077
06731352,00053882,06698696,00004831,00006076
06730672,00053886,06692872,00004829,00006075
06730392,00053880,06698448,00004832,00006075
06730784,00053874,06694760,00004829,00006075
06730936,00053876,06695760,00004832,00006072
06730976,00053858,06698008,00004832,00006074
06730392,00053852,06693672,00004830,00006072
06730528,00053850,06699192,00004831,00006075
06730464,00053844,06694384,00004831,00006074
06731152,00053837,06696880,00004833,00006072
06731144,00053836,06697312,00004830,00006074
06730472,00053830,06693968,00004829,00006074
06730256,00053823,06699344,00004829,00006073
06730560,00053821,06693624,00004832,00006072
06731160,00053808,06697736,00004829,00006070
06731024,00053812,06696248,00004830,00006069
06730448,00053804,06694304,00004834,00006071
06730360,00053801,06698880,00004831,00006071
06730720,00053805,06692872,00004830,00006070
06731232,00053800,06698256,00004830,00006071
06730720,00053796,06695400,00004834,00006070
06730200,00053797,06695512,00004831,00006073
06730016,00053793,06698128,00004830,00006071
06730616,00053798,06693360,00004829,00006071
06730888,00053792,06698752,00004829,00006069
06730720,00053791,06694624,00004830,00006068
06730208,00053788,06696720,00004828,00006068
06730200,00053792,06697608,00004830,00006070
06730560,00053787,06693888,00004832,00006069
06730904,00053789,06699160,00004832,00006071
06730256,00053784,06693928,00004830,00006072
06730376,00053781,06697312,00004829,00006071
06730280,00053782,06697160,00004830,00006070
06730776,00053795,06693968,00004828,00006069
06730896,00053784,06699120,00004832,00006076
06730408,00053792,06693168,00004829,00006071
06730384,00053792,06697784,00004833,00006073
06730592,00053791,06695728,00004832,00006072
06730952,00053790,06694976,00004834,00006074
06730584,00053798,06698704,00004835,00006074
06730384,00053797,06693432,00004833,00006072
06729968,00053798,06698720,00004830,00006078
06730472,00053799,06694808,00004831,00006075
06730744,00053804,06695952,00004831,00006072
06730752,00053807,06698488,00004829,00006074
06730192,00053807,06693880,00004833,00006071
06730392,00053809,06699200,00004835,00006074
