Header 24 Data,Header 25 Data,Header 26 Data,Header 27 Data,Header 28 Data
08358064,00065719,08855416,00002174,00003191
08357512,00065688,08854280,00002175,00003191
08358160,00065659,08854368,00002174,00003191
08358200,00065634,08855504,00002173,00003187
08358304,00065622,08856320,00002176,00003189
08357528,00065599,08855296,00002173,00003188
08357824,00065574,08854096,00002173,00003186
08357712,00065554,08854016,00002172,00003185
08358200,00065521,08855840,00002175,00003183
08357848,00065502,08856168,00002169,00003182
08357632,00065474,08855112,00002172,00003183
08357504,00065450,08854000,00002173,00003182
08357712,00065423,08854392,00002172,00003180
08358032,00065408,08855912,00002173,00003180
08358128,00065388,08856200,00002173,00003181
08357592,00065378,08854912,00002172,00003181
08357056,00065377,08853776,00002174,00003186
08357960,00065371,08854592,00002175,00003180
08357768,00065371,08855888,00002176,00003180
08357800,00065370,08856064,00002174,00003181
08357368,00065366,08854640,00002174,00003184
08357656,00065368,08853872,00002172,00003180
08357808,00065370,08854760,00002173,00003183
08358264,00065363,08856112,00002176,00003181
08357560,00065367,08855992,00002177,00003183
08357464,00065352,08854544,00002173,00003179
08357288,00065365,08854072,00002173,00003184
08357992,00065371,08855256,00002170,00003179
08357904,00065368,08856352,00002171,00003184
08357640,00065365,08855864,00002174,00003181
08357248,00065373,08854296,00002174,00003184
08357688,00065373,08853904,00002174,00003187
08357856,00065382,08855168,00002175,00003183
08358024,00065390,08856336,00002173,00003185
08357592,00065395,08855576,00002173,00003184
08357272,00065403,08854096,00002176,00003187
08357640,00065424,08853904,00002175,00003184
08357760,00065425,08855184,00002174,00003188
08358208,00065432,08856048,00002178,00003187
08357352,00065444,08855320,00002176,00003188
08357400,00065461,08854192,00002175,00003187
08357216,00065467,08854064,00002176,00003186
08358048,00065480,08855576,00002177,00003191
08357552,00065495,08856128,00002176,00003193
08357392,00065508,08855384,00002176,00003191
08357224,00065516,08853768,00002175,00003195
08357840,00065541,08854312,00002176,00003193
08357816,00065550,08855504,00002176,00003192
08358008,00065559,08856064,00002179,00003191
08357552,00065579,08854776,00002178,00003196
08357360,00065574,08853864,00002177,00003196
08357696,00065592,08854576,00002177,00003197
08358000,00065609,08855848,00002174,00003197
08357768,00065630,08856248,00002176,00003199
08357400,00065641,08854896,00002179,00003198
08357744,00065651,08853824,00002180,00003200
08357520,00065669,08854792,00002180,00003203
08358288,00065688,08856032,00002178,00003205
08357696,00065697,08856072,00002181,00003203
08357584,00065713,08854784,00002181,00003204
08357328,00065728,08853824,00002181,00003206
08357936,00065737,08854928,00002183,00003204
08358040,00065746,08856328,00002181,00003206
08357880,00065754,08855808,00002180,00003206
08357512,00065745,08854496,00002183,00003203
08357352,00065728,08853784,00002179,00003204
08357752,00065700,08854928,00002177,00003202
08357608,00065673,08856312,00002179,00003197
08357488,00065654,08855824,00002178,00003197
08357208,00065613,08854176,00002177,00003193
08357416,00065584,08854104,00002181,00003192
08357744,00065544,08855568,00002177,00003194
08357944,00065523,08856272,00002179,00003195
08357288,00065495,08855536,00002177,00003194
08357384,00065466,08854288,00002180,00003189
08357280,00065441,08854152,00002178,00003191
08357888,00065420,08855600,00002177,00003190
08357552,00065392,08856328,00002179,00003191
08357440,00065370,08855352,00002175,00003191
08357256,00065338,08853864,00002177,00003189
08357648,00065308,08854376,00002177,00003193
08357800,00065282,08855584,00002178,00003188
08357944,00065262,08856104,00002177,00003187
08357416,00065240,08855208,00002175,00003187
08357320,00065229,08853896,00002176,00003187
08357624,00065217,08854520,00002175,00003180
08357880,00065209,08855864,00002176,00003187
08357744,00065212,08856064,00002177,00003190
08357176,00065213,08855000,00002176,00003187
08357432,00065215,08853992,00002174,00003191
08357672,00065220,08854592,00002177,00003188
08358128,00065214,08856288,00002176,00003192
08357600,00065207,08856232,00002178,00003191
08357504,00065201,08854752,00002177,00003191
08357480,00065206,08853856,00002176,00003188
08358040,00065199,08854936,00002174,00003187
08357880,00065207,08856000,00002175,00003186
08357896,00065206,08855800,00002176,00003190
08357488,00065214,08854416,00002178,00003192
08357712,00065211,08853896,00002175,00003186
08357640,00065224,08855016,00002173,00003190
08357920,00065230,08856272,00002179,00003191
08357600,00065235,08855848,00002176,00003190
08357520,00065243,08854144,00002178,00003192
08357624,00065255,08853848,00002178,00003189
08358080,00065261,08854928,00002175,00003193
08358120,00065275,08856176,00002175,00003191
08357488,00065291,08855512,00002178,00003194
08357312,00065298,08854192,00002177,00003191
08357360,00065317,08854016,00002180,00003195
08358296,00065325,08855384,00002180,00003196
08357712,00065344,08856400,00002179,00003196
08357720,00065358,08855544,00002177,00003194
08357128,00065367,08854088,00002179,00003197
08357792,00065386,08854128,00002178,00003195
